ID ClusterSize NResp Trt Dataset
83 4 2 C 2
84 5 0 D 2
85 7 0 A 2
86 4 2 B 2
87 3 2 C 2
88 5 0 D 2
89 5 0 A 2
90 2 1 B 2
91 7 0 C 2
92 4 0 D 2
93 6 6 A 2
94 7 5 B 2
95 8 3 C 2
96 10 3 D 2
97 8 8 A 2
98 4 1 B 2
99 7 0 C 2
100 4 0 D 2
1 3 1 A 3
2 4 0 B 3
3 9 0 C 3
4 8 0 D 3
5 7 1 A 3
6 5 1 B 3
7 3 0 C 3
8 9 0 D 3
9 6 6 A 3
10 10 2 B 3
11 6 3 C 3
12 8 0 D 3
13 5 5 A 3
14 5 1 B 3
15 3 1 C 3
16 9 0 D 3
17 8 0 A 3
18 4 0 B 3
19 4 1 C 3
20 5 0 D 3
21 2 2 A 3
22 7 5 B 3
23 5 1 C 3
24 5 1 D 3
25 10 4 A 3
26 9 4 B 3
27 2 0 C 3
28 7 0 D 3
29 5 2 A 3
30 5 3 B 3
31 7 5 C 3
32 7 1 D 3
33 6 0 A 3
34 5 1 B 3
35 5 1 C 3
36 7 0 D 3
37 5 2 A 3
38 2 1 B 3
39 2 0 C 3
40 6 0 D 3
41 3 3 A 3
42 4 3 B 3
43 7 1 C 3
44 9 0 D 3
45 6 5 A 3
46 2 1 B 3
47 5 0 C 3
48 4 1 D 3
49 7 7 A 3
50 5 0 B 3
51 4 0 C 3
52 8 0 D 3
53 5 1 A 3
54 6 2 B 3
55 3 0 C 3
56 3 0 D 3
57 7 1 A 3
58 4 4 B 3
59 7 0 C 3
60 10 0 D 3
61 2 1 A 3
62 7 3 B 3
63 6 2 C 3
64 7 0 D 3
65 6 1 A 3
66 4 0 B 3
67 5 3 C 3
68 5 0 D 3
69 8 3 A 3
70 9 1 B 3
71 4 1 C 3
72 5 0 D 3
73 4 4 A 3
74 2 1 B 3
75 5 0 C 3
76 6 0 D 3
77 2 1 A 3
78 7 2 B 3
79 8 0 C 3
80 2 0 D 3
81 8 1 A 3
82 7 3 B 3
83 6 2 C 3
84 6 1 D 3
85 2 2 A 3
86 8 1 B 3
87 5 0 C 3
88 6 0 D 3
89 3 3 A 3
90 8 0 B 3
91 3 0 C 3
92 6 0 D 3
93 7 0 A 3
94 6 4 B 3
95 7 2 C 3
96 7 3 D 3
97 5 3 A 3
98 6 0 B 3
99 5 1 C 3
100 5 1 D 3
1 3 3 A 4
2 6 1 B 4
3 5 3 C 4
4 3 0 D 4
5 6 6 A 4
6 10 1 B 4
7 7 0 C 4
8 5 0 D 4
9 4 0 A 4
10 2 0 B 4
11 5 0 C 4
12 7 0 D 4
13 4 1 A 4
14 6 0 B 4
15 2 0 C 4
16 3 0 D 4
17 8 3 A 4
18 7 2 B 4
19 2 1 C 4
20 7 1 D 4
21 3 3 A 4
22 9 7 B 4
23 5 1 C 4
24 4 0 D 4
25 7 2 A 4
26 9 6 B 4
27 8 0 C 4
28 5 0 D 4
29 8 1 A 4
30 4 0 B 4
31 7 3 C 4
32 8 0 D 4
33 7 4 A 4
34 10 1 B 4
35 3 0 C 4
36 6 2 D 4
37 4 1 A 4
38 7 4 B 4
39 7 2 C 4
40 7 0 D 4
41 2 0 A 4
42 4 0 B 4
43 10 4 C 4
44 9 0 D 4
45 9 6 A 4
46 6 3 B 4
47 6 1 C 4
48 7 0 D 4
49 3 1 A 4
50 8 1 B 4
51 2 0 C 4
52 6 0 D 4
53 2 0 A 4
54 7 0 B 4
55 4 1 C 4
56 4 0 D 4
57 6 3 A 4
58 6 3 B 4
59 6 3 C 4
60 5 0 D 4
61 6 6 A 4
62 6 1 B 4
63 8 0 C 4
64 9 0 D 4
65 10 3 A 4
66 3 0 B 4
67 10 5 C 4
68 4 0 D 4
69 10 10 A 4
70 10 5 B 4
71 4 1 C 4
72 4 0 D 4
73 9 9 A 4
74 5 4 B 4
75 2 1 C 4
76 10 0 D 4
77 8 8 A 4
78 5 0 B 4
79 5 0 C 4
80 2 0 D 4
81 9 9 A 4
82 5 1 B 4
83 5 0 C 4
84 4 0 D 4
85 2 0 A 4
86 10 5 B 4
87 5 0 C 4
88 6 1 D 4
89 6 2 A 4
90 2 1 B 4
91 4 0 C 4
92 7 0 D 4
93 7 0 A 4
94 3 0 B 4
95 4 0 C 4
96 8 0 D 4
97 10 10 A 4
98 9 1 B 4
99 8 0 C 4
100 8 1 D 4
1 3 1 A 5
2 5 4 B 5
3 6 0 C 5
4 9 0 D 5
5 6 6 A 5
6 7 3 B 5
7 6 2 C 5
8 3 0 D 5
9 7 1 A 5
10 3 3 B 5
11 4 0 C 5
12 6 0 D 5
13 10 10 A 5
14 7 4 B 5
15 5 0 C 5
16 5 1 D 5
17 6 6 A 5
18 8 0 B 5
19 5 0 C 5
20 8 1 D 5
21 2 2 A 5
22 8 0 B 5
23 3 0 C 5
24 8 0 D 5
25 8 5 A 5
26 8 7 B 5
27 5 0 C 5
28 6 0 D 5
29 7 3 A 5
30 4 2 B 5
31 2 0 C 5
32 5 0 D 5
33 9 9 A 5
34 8 3 B 5
35 6 0 C 5
36 7 1 D 5
37 8 8 A 5
38 5 4 B 5
39 8 0 C 5
40 9 3 D 5
41 2 0 A 5
42 2 2 B 5
43 5 0 C 5
44 2 0 D 5
45 7 0 A 5
46 6 2 B 5
47 6 2 C 5
48 3 0 D 5
49 9 9 A 5
50 8 7 B 5
51 4 0 C 5
52 6 0 D 5
53 2 1 A 5
54 4 1 B 5
55 5 2 C 5
56 6 0 D 5
57 3 2 A 5
58 7 1 B 5
59 7 2 C 5
60 2 0 D 5
61 6 4 A 5
62 5 5 B 5
63 6 0 C 5
64 3 1 D 5
65 8 0 A 5
66 6 2 B 5
67 6 0 C 5
68 3 1 D 5
69 8 7 A 5
70 10 0 B 5
71 3 1 C 5
72 4 0 D 5
73 5 5 A 5
74 6 4 B 5
75 5 1 C 5
76 7 0 D 5
77 10 6 A 5
78 6 3 B 5
79 5 0 C 5
80 4 0 D 5
81 7 3 A 5
82 5 0 B 5
83 8 3 C 5
84 5 0 D 5
85 6 5 A 5
86 7 0 B 5
87 6 0 C 5
88 5 0 D 5
89 5 5 A 5
90 3 2 B 5
91 5 1 C 5
92 7 1 D 5
93 10 1 A 5
94 7 4 B 5
95 5 1 C 5
96 4 0 D 5
97 2 1 A 5
98 2 0 B 5
99 6 0 C 5
100 8 1 D 5
1 4 0 A 6
2 3 2 B 6
3 5 2 C 6
4 6 1 D 6
5 6 5 A 6
6 5 2 B 6
7 5 0 C 6
8 4 0 D 6
9 4 0 A 6
10 6 0 B 6
11 9 1 C 6
12 8 1 D 6
13 5 3 A 6
14 5 1 B 6
15 7 2 C 6
16 3 0 D 6
17 7 4 A 6
18 2 0 B 6
19 8 2 C 6
20 10 0 D 6
21 9 9 A 6
22 6 2 B 6
23 6 2 C 6
24 2 0 D 6
25 3 1 A 6
26 2 0 B 6
27 2 1 C 6
28 7 0 D 6
29 6 5 A 6
30 6 4 B 6
31 5 0 C 6
32 4 0 D 6
33 2 0 A 6
34 5 1 B 6
35 4 1 C 6
36 6 0 D 6
37 7 0 A 6
38 2 1 B 6
39 5 1 C 6
40 5 1 D 6
41 4 4 A 6
42 6 0 B 6
43 8 3 C 6
44 9 1 D 6
45 4 2 A 6
46 5 1 B 6
47 5 0 C 6
48 2 0 D 6
49 5 5 A 6
50 8 0 B 6
51 4 0 C 6
52 5 0 D 6
53 5 2 A 6
54 4 1 B 6
55 7 0 C 6
56 8 1 D 6
57 6 6 A 6
58 5 3 B 6
59 9 1 C 6
60 8 0 D 6
61 7 2 A 6
62 7 0 B 6
63 4 0 C 6
64 10 1 D 6
65 6 5 A 6
66 5 2 B 6
67 7 1 C 6
68 2 0 D 6
69 7 7 A 6
70 5 3 B 6
71 7 4 C 6
72 9 1 D 6
73 3 3 A 6
74 2 0 B 6
75 6 0 C 6
76 5 0 D 6
77 5 5 A 6
78 7 4 B 6
79 5 3 C 6
80 7 0 D 6
81 5 5 A 6
82 4 0 B 6
83 7 0 C 6
84 10 2 D 6
85 5 1 A 6
86 8 3 B 6
87 4 3 C 6
88 6 1 D 6
89 5 5 A 6
90 5 3 B 6
91 3 0 C 6
92 4 0 D 6
93 4 0 A 6
94 8 6 B 6
95 8 1 C 6
96 7 2 D 6
97 3 3 A 6
98 6 0 B 6
99 5 2 C 6
100 5 2 D 6
1 2 1 A 7
2 9 3 B 7
3 5 1 C 7
4 7 0 D 7
5 5 2 A 7
6 8 2 B 7
7 9 3 C 7
8 10 0 D 7
9 5 0 A 7
10 8 6 B 7
11 5 3 C 7
12 7 0 D 7
13 2 2 A 7
14 5 2 B 7
15 4 0 C 7
16 4 0 D 7
17 8 8 A 7
18 5 4 B 7
19 2 1 C 7
20 8 0 D 7
21 5 1 A 7
22 5 2 B 7
23 7 1 C 7
24 6 0 D 7
25 6 0 A 7
26 2 2 B 7
27 8 3 C 7
28 6 0 D 7
29 5 2 A 7
30 3 0 B 7
31 9 0 C 7
32 3 0 D 7
33 6 2 A 7
34 8 1 B 7
35 5 0 C 7
36 4 0 D 7
37 7 0 A 7
38 2 0 B 7
39 2 0 C 7
40 4 0 D 7
41 8 3 A 7
42 8 0 B 7
43 6 1 C 7
44 4 0 D 7
45 4 3 A 7
46 2 1 B 7
47 2 1 C 7
48 5 1 D 7
49 3 1 A 7
50 4 2 B 7
51 7 3 C 7
52 5 0 D 7
53 6 6 A 7
54 7 0 B 7
55 10 1 C 7
56 5 0 D 7
57 10 5 A 7
58 2 1 B 7
59 5 1 C 7
60 6 0 D 7
61 8 0 A 7
62 9 1 B 7
63 7 1 C 7
64 5 0 D 7
65 9 9 A 7
66 7 4 B 7
67 6 0 C 7
68 5 0 D 7
69 6 0 A 7
70 6 4 B 7
71 6 1 C 7
72 4 1 D 7
73 5 5 A 7
74 2 1 B 7
75 7 0 C 7
76 6 0 D 7
77 7 1 A 7
78 3 2 B 7
79 2 0 C 7
80 10 1 D 7
81 4 1 A 7
82 5 1 B 7
83 4 0 C 7
84 6 1 D 7
85 8 8 A 7
86 5 0 B 7
87 7 2 C 7
88 6 0 D 7
89 3 3 A 7
90 4 0 B 7
91 6 0 C 7
92 8 0 D 7
93 9 0 A 7
94 4 0 B 7
95 5 1 C 7
96 5 0 D 7
97 2 2 A 7
98 8 0 B 7
99 9 2 C 7
100 6 1 D 7
1 6 3 A 8
2 3 1 B 8
3 9 0 C 8
4 9 0 D 8
5 8 3 A 8
6 6 1 B 8
7 5 1 C 8
8 6 0 D 8
9 6 1 A 8
10 8 2 B 8
11 10 1 C 8
12 10 1 D 8
13 5 5 A 8
14 7 0 B 8
15 6 0 C 8
16 2 0 D 8
17 7 0 A 8
18 9 1 B 8
19 7 0 C 8
20 9 3 D 8
21 5 5 A 8
22 7 3 B 8
23 3 0 C 8
24 6 1 D 8
25 3 2 A 8
26 7 6 B 8
27 10 6 C 8
28 2 0 D 8
29 6 0 A 8
30 4 3 B 8
31 8 0 C 8
32 4 1 D 8
33 8 1 A 8
34 6 2 B 8
35 3 1 C 8
36 5 0 D 8
37 6 0 A 8
38 6 2 B 8
39 3 0 C 8
40 4 0 D 8
41 3 1 A 8
42 5 0 B 8
43 10 2 C 8
44 3 0 D 8
45 3 2 A 8
46 8 2 B 8
47 5 0 C 8
48 6 1 D 8
49 7 1 A 8
50 3 1 B 8
51 6 2 C 8
52 5 1 D 8
53 6 1 A 8
54 9 2 B 8
55 6 3 C 8
56 5 0 D 8
57 8 8 A 8
58 2 1 B 8
59 10 0 C 8
60 5 0 D 8
61 3 2 A 8
62 8 2 B 8
63 6 2 C 8
64 10 0 D 8
65 5 4 A 8
66 5 0 B 8
67 10 3 C 8
68 8 0 D 8
69 7 1 A 8
70 8 1 B 8
71 6 2 C 8
72 8 1 D 8
73 6 4 A 8
74 9 3 B 8
75 4 1 C 8
76 5 1 D 8
77 9 5 A 8
78 5 0 B 8
79 5 2 C 8
80 4 0 D 8
81 2 0 A 8
82 5 0 B 8
83 4 0 C 8
84 5 1 D 8
85 7 7 A 8
86 8 2 B 8
87 6 0 C 8
88 9 0 D 8
89 4 4 A 8
90 9 6 B 8
91 4 2 C 8
92 3 0 D 8
93 5 0 A 8
94 7 0 B 8
95 7 3 C 8
96 6 0 D 8
97 6 6 A 8
98 5 0 B 8
99 3 2 C 8
100 3 0 D 8
1 6 5 A 9
2 8 0 B 9
3 8 3 C 9
4 4 0 D 9
5 6 6 A 9
6 4 1 B 9
7 4 0 C 9
8 4 0 D 9
9 2 2 A 9
10 2 1 B 9
11 5 4 C 9
12 6 1 D 9
13 8 4 A 9
14 6 0 B 9
15 6 1 C 9
16 5 1 D 9
17 9 0 A 9
18 6 2 B 9
19 6 1 C 9
20 5 1 D 9
21 6 1 A 9
22 5 2 B 9
23 6 1 C 9
24 7 1 D 9
25 5 3 A 9
26 2 0 B 9
27 2 2 C 9
28 6 0 D 9
29 2 0 A 9
30 4 1 B 9
31 6 0 C 9
32 5 2 D 9
33 7 5 A 9
34 8 0 B 9
35 6 0 C 9
36 6 1 D 9
37 9 6 A 9
38 5 3 B 9
39 4 1 C 9
40 3 0 D 9
41 6 3 A 9
42 4 0 B 9
43 4 0 C 9
44 4 0 D 9
45 2 2 A 9
46 7 3 B 9
47 10 0 C 9
48 5 1 D 9
49 5 1 A 9
50 4 0 B 9
51 4 0 C 9
52 9 0 D 9
53 4 1 A 9
54 3 3 B 9
55 4 2 C 9
56 7 0 D 9
57 6 0 A 9
58 5 3 B 9
59 7 2 C 9
60 5 1 D 9
61 5 5 A 9
62 3 0 B 9
63 5 2 C 9
64 3 1 D 9
65 9 3 A 9
66 5 2 B 9
67 3 1 C 9
68 7 0 D 9
69 8 5 A 9
70 2 1 B 9
71 7 3 C 9
72 7 0 D 9
73 6 0 A 9
74 3 0 B 9
75 7 3 C 9
76 5 0 D 9
77 4 4 A 9
78 6 2 B 9
79 3 0 C 9
80 3 0 D 9
81 6 0 A 9
82 7 4 B 9
83 3 0 C 9
84 7 0 D 9
85 2 0 A 9
86 6 2 B 9
87 9 2 C 9
88 5 0 D 9
89 5 5 A 9
90 2 2 B 9
91 7 0 C 9
92 7 1 D 9
93 7 2 A 9
94 4 3 B 9
95 5 1 C 9
96 7 1 D 9
97 2 1 A 9
98 4 3 B 9
99 5 1 C 9
100 5 0 D 9
1 7 7 A 10
2 5 0 B 10
3 3 1 C 10
4 2 0 D 10
5 6 6 A 10
6 6 1 B 10
7 10 1 C 10
8 8 0 D 10
9 4 0 A 10
10 10 4 B 10
11 5 2 C 10
12 6 0 D 10
13 6 1 A 10
14 3 2 B 10
15 5 1 C 10
16 9 2 D 10
17 5 2 A 10
18 5 1 B 10
19 3 1 C 10
20 3 0 D 10
21 5 5 A 10
22 3 0 B 10
23 2 0 C 10
24 8 0 D 10
25 7 7 A 10
26 6 4 B 10
27 2 2 C 10
28 3 0 D 10
29 7 1 A 10
30 5 1 B 10
31 4 1 C 10
32 7 0 D 10
33 7 2 A 10
34 3 0 B 10
35 2 0 C 10
36 7 0 D 10
37 2 2 A 10
38 5 0 B 10
39 5 0 C 10
40 6 0 D 10
41 5 0 A 10
42 6 2 B 10
43 5 0 C 10
44 4 1 D 10
45 7 7 A 10
46 8 1 B 10
47 7 1 C 10
48 7 1 D 10
49 8 2 A 10
50 7 0 B 10
51 8 0 C 10
52 6 0 D 10
53 6 1 A 10
54 8 3 B 10
55 7 0 C 10
56 5 0 D 10
57 4 4 A 10
58 5 0 B 10
59 2 0 C 10
60 5 0 D 10
61 5 2 A 10
62 5 0 B 10
63 4 0 C 10
64 7 1 D 10
65 5 4 A 10
66 9 2 B 10
67 9 1 C 10
68 7 0 D 10
69 2 0 A 10
70 9 5 B 10
71 4 2 C 10
72 6 0 D 10
73 7 6 A 10
74 10 0 B 10
75 2 1 C 10
76 6 0 D 10
77 4 1 A 10
78 5 2 B 10
79 8 1 C 10
80 6 0 D 10
81 4 1 A 10
82 5 2 B 10
83 5 3 C 10
84 10 0 D 10
85 7 0 A 10
86 4 0 B 10
87 4 1 C 10
88 6 0 D 10
89 3 3 A 10
90 7 2 B 10
91 3 1 C 10
92 7 1 D 10
93 7 7 A 10
94 6 5 B 10
95 5 1 C 10
96 2 0 D 10
97 6 6 A 10
98 5 1 B 10
99 7 0 C 10
100 7 1 D 10
1 5 1 A 11
2 7 5 B 11
3 7 1 C 11
4 5 0 D 11
5 2 1 A 11
6 7 6 B 11
7 4 3 C 11
8 9 0 D 11
9 8 7 A 11
10 7 2 B 11
11 3 3 C 11
12 6 0 D 11
13 3 1 A 11
14 6 1 B 11
15 2 1 C 11
16 7 0 D 11
17 7 7 A 11
18 2 1 B 11
19 9 1 C 11
20 2 0 D 11
21 5 4 A 11
22 8 2 B 11
23 9 2 C 11
24 8 0 D 11
25 8 1 A 11
26 7 4 B 11
27 9 5 C 11
28 3 0 D 11
29 10 4 A 11
30 7 4 B 11
31 2 1 C 11
32 3 0 D 11
33 5 5 A 11
34 5 0 B 11
35 4 1 C 11
36 2 0 D 11
37 5 1 A 11
38 10 6 B 11
39 5 1 C 11
40 5 0 D 11
41 6 4 A 11
42 8 1 B 11
43 6 0 C 11
44 6 2 D 11
45 8 8 A 11
46 7 1 B 11
47 7 0 C 11
48 2 0 D 11
49 6 6 A 11
50 7 0 B 11
51 8 0 C 11
52 4 2 D 11
53 7 2 A 11
54 3 2 B 11
55 5 0 C 11
56 8 0 D 11
57 3 3 A 11
58 9 6 B 11
59 7 2 C 11
60 3 0 D 11
61 4 4 A 11
62 8 3 B 11
63 3 0 C 11
64 5 0 D 11
65 9 9 A 11
66 8 0 B 11
67 2 0 C 11
68 6 0 D 11
69 5 2 A 11
70 3 1 B 11
71 5 0 C 11
72 4 0 D 11
73 2 1 A 11
74 6 1 B 11
75 7 0 C 11
76 9 0 D 11
77 6 0 A 11
78 5 0 B 11
79 7 0 C 11
80 4 1 D 11
81 7 0 A 11
82 4 3 B 11
83 6 0 C 11
84 4 1 D 11
85 6 5 A 11
86 9 1 B 11
87 7 0 C 11
88 3 0 D 11
89 8 0 A 11
90 4 3 B 11
91 5 1 C 11
92 4 0 D 11
93 5 3 A 11
94 6 1 B 11
95 6 1 C 11
96 7 0 D 11
97 2 1 A 11
98 5 3 B 11
99 7 1 C 11
100 5 2 D 11
1 5 0 A 12
2 6 4 B 12
3 5 0 C 12
4 10 2 D 12
5 6 2 A 12
6 6 0 B 12
7 5 1 C 12
8 4 0 D 12
9 5 4 A 12
10 4 0 B 12
11 3 0 C 12
12 9 0 D 12
13 6 3 A 12
14 6 4 B 12
15 6 0 C 12
16 3 2 D 12
17 4 2 A 12
18 5 1 B 12
19 7 5 C 12
20 6 0 D 12
21 5 3 A 12
22 8 1 B 12
23 10 3 C 12
24 7 0 D 12
25 9 9 A 12
26 7 0 B 12
27 5 3 C 12
28 7 0 D 12
29 7 2 A 12
30 6 1 B 12
31 9 0 C 12
32 2 0 D 12
33 5 2 A 12
34 3 2 B 12
35 5 2 C 12
36 5 0 D 12
37 7 4 A 12
38 7 0 B 12
39 6 1 C 12
40 7 3 D 12
41 5 2 A 12
42 6 4 B 12
43 8 4 C 12
44 5 0 D 12
45 6 4 A 12
46 7 4 B 12
47 4 0 C 12
48 5 1 D 12
49 7 3 A 12
50 4 1 B 12
51 9 4 C 12
52 4 0 D 12
53 6 5 A 12
54 5 0 B 12
55 6 0 C 12
56 10 1 D 12
57 10 10 A 12
58 8 3 B 12
59 7 0 C 12
60 6 1 D 12
61 6 6 A 12
62 7 5 B 12
63 5 2 C 12
64 6 0 D 12
65 5 0 A 12
66 4 0 B 12
67 9 3 C 12
68 5 2 D 12
69 9 4 A 12
70 3 2 B 12
71 3 0 C 12
72 6 0 D 12
73 5 2 A 12
74 6 1 B 12
75 7 3 C 12
76 6 0 D 12
77 5 5 A 12
78 8 0 B 12
79 6 1 C 12
80 4 0 D 12
81 5 0 A 12
82 4 3 B 12
83 5 1 C 12
84 6 1 D 12
85 3 0 A 12
86 3 1 B 12
87 3 2 C 12
88 6 0 D 12
89 4 4 A 12
90 5 0 B 12
91 3 1 C 12
92 3 0 D 12
93 5 1 A 12
94 5 0 B 12
95 5 1 C 12
96 3 0 D 12
97 2 2 A 12
98 8 0 B 12
99 3 2 C 12
100 5 0 D 12
1 6 5 A 13
2 6 2 B 13
3 5 1 C 13
4 6 0 D 13
5 3 3 A 13
6 3 2 B 13
7 7 0 C 13
8 9 0 D 13
9 10 10 A 13
10 5 2 B 13
11 10 1 C 13
12 5 1 D 13
13 10 2 A 13
14 4 1 B 13
15 5 1 C 13
16 8 0 D 13
17 7 3 A 13
18 6 1 B 13
19 4 1 C 13
20 3 0 D 13
21 2 0 A 13
22 4 0 B 13
23 3 2 C 13
24 6 0 D 13
25 6 4 A 13
26 8 1 B 13
27 7 3 C 13
28 10 0 D 13
29 4 0 A 13
30 5 5 B 13
31 6 3 C 13
32 8 0 D 13
33 7 2 A 13
34 3 0 B 13
35 4 1 C 13
36 7 0 D 13
37 7 0 A 13
38 3 1 B 13
39 5 0 C 13
40 7 0 D 13
41 4 2 A 13
42 5 1 B 13
43 4 2 C 13
44 8 0 D 13
45 7 1 A 13
46 6 1 B 13
47 7 0 C 13
48 3 1 D 13
49 7 2 A 13
50 6 4 B 13
51 4 2 C 13
52 8 0 D 13
53 6 6 A 13
54 4 2 B 13
55 9 2 C 13
56 9 0 D 13
57 4 4 A 13
58 9 7 B 13
59 6 2 C 13
60 9 3 D 13
61 7 6 A 13
62 7 2 B 13
63 7 1 C 13
64 2 0 D 13
65 3 0 A 13
66 4 1 B 13
67 6 0 C 13
68 7 0 D 13
69 4 0 A 13
70 9 2 B 13
71 4 1 C 13
72 5 0 D 13
73 5 1 A 13
74 8 1 B 13
75 6 0 C 13
76 6 0 D 13
77 6 4 A 13
78 4 0 B 13
79 3 0 C 13
80 4 0 D 13
81 6 1 A 13
82 6 4 B 13
83 5 1 C 13
84 6 0 D 13
85 6 4 A 13
86 5 4 B 13
87 5 0 C 13
88 4 0 D 13
89 5 1 A 13
90 8 5 B 13
91 5 2 C 13
92 4 0 D 13
93 8 1 A 13
94 7 1 B 13
95 6 1 C 13
96 6 2 D 13
97 2 1 A 13
98 2 2 B 13
99 7 3 C 13
100 5 0 D 13
1 9 0 A 14
2 10 5 B 14
3 7 0 C 14
4 4 0 D 14
5 5 2 A 14
6 3 0 B 14
7 9 3 C 14
8 3 0 D 14
9 8 8 A 14
10 8 6 B 14
11 6 0 C 14
12 6 2 D 14
13 7 7 A 14
14 6 5 B 14
15 7 0 C 14
16 3 0 D 14
17 3 0 A 14
18 5 0 B 14
19 7 0 C 14
20 3 1 D 14
21 7 2 A 14
22 10 1 B 14
23 6 0 C 14
24 6 0 D 14
25 8 4 A 14
26 8 0 B 14
27 7 1 C 14
28 6 1 D 14
29 3 0 A 14
30 10 0 B 14
31 6 2 C 14
32 4 0 D 14
33 5 2 A 14
34 6 3 B 14
35 3 0 C 14
36 6 0 D 14
37 4 4 A 14
38 6 4 B 14
39 4 0 C 14
40 10 0 D 14
41 5 4 A 14
42 4 0 B 14
43 6 2 C 14
44 7 1 D 14
45 3 3 A 14
46 2 0 B 14
47 4 0 C 14
48 6 0 D 14
49 6 3 A 14
50 10 7 B 14
51 6 1 C 14
52 2 0 D 14
53 6 5 A 14
54 5 0 B 14
55 5 0 C 14
56 3 0 D 14
57 10 4 A 14
58 6 3 B 14
59 5 1 C 14
60 10 1 D 14
61 9 1 A 14
62 7 5 B 14
63 10 0 C 14
64 10 0 D 14
65 3 0 A 14
66 8 1 B 14
67 8 1 C 14
68 7 1 D 14
69 10 6 A 14
70 3 1 B 14
71 5 2 C 14
72 4 0 D 14
73 4 4 A 14
74 4 1 B 14
75 8 1 C 14
76 4 0 D 14
77 6 6 A 14
78 7 3 B 14
79 7 1 C 14
80 3 0 D 14
81 3 0 A 14
82 6 2 B 14
83 7 1 C 14
84 4 2 D 14
85 2 2 A 14
86 6 1 B 14
87 7 0 C 14
88 8 3 D 14
89 5 1 A 14
90 7 3 B 14
91 8 1 C 14
92 7 4 D 14
93 3 0 A 14
94 6 1 B 14
95 8 0 C 14
96 5 0 D 14
